inn,name,revenue_year,revenue,segment_tag,source,okved_main,employees,site,description,region,contacts,rating_ref
2309098972,"Организация ООО ""ИВЕНТ-АГЕНТСТВО ""ПАТИЛЭНД""",2023,202412282000,BTL|COMM_GROUP,list_org,,,http://www.partyl.ru,"Показатели, адрес, руководитель, телефон, вид деятельности компании Общество с ограниченной ответственностью Ивент-агентство Патилэнд, ИНН 2309098972, ОГРН 1062309019520, ОКПО 95097338","Г КРАСНОДАР,УЛ КУБАНОНАБЕРЕЖНАЯ, Д 5 GPS координаты: 44.031,39.635",+7 (861) 242-98-90,/company/4244333
5262352295,"Организация ООО ""ААП ИВЕНТ ГРУПП""",2023,202410394000,BTL|COMM_GROUP,list_org,,,,"Показатели, адрес, руководитель, телефон, вид деятельности компании ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ АГЕНТСТВО АРТ ПРЕМИУМ ИВЕНТ ГРУПП, ИНН 5262352295, ОГРН 1175275074171, ОКПО 20004508","Нижегородская область, ГОРОДСКОЙ ОКРУГ ГОРОД НИЖНИЙ НОВГОРОД, Г НИЖНИЙ Н",+7 (908) 734-17-89,/company/11560396
7718285588,"Организация ООО ""ИВЕНТ-АГЕНТСТВО БЕЛКА""",2023,202444093000,BTL|COMM_GROUP,list_org,,,,"Показатели, адрес, руководитель, телефон, вид деятельности компании ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ИВЕНТ-АГЕНТСТВО БЕЛКА, ИНН 7718285588, ОГРН 5157746080290, ОКПО 45411964","Г.МОСКВА, ПР-Д ЯСНЫЙ, Д. 11, К. А, КВ. 70 GPS координаты: 55.067,3",+7 (495) 247-00-38,/company/2323992
0278980842,"Организация ООО ""ИА ""ОСНОВА""",2023,20241351000,BTL|COMM_GROUP,list_org,,,http://rkn.gov.ru,"Показатели, адрес, руководитель, телефон, вид деятельности компании ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ИВЕНТ АГЕНТСТВО ОСНОВА, ИНН 0278980842, ОГРН 1230200047494, ОКПО 94719246","РЕСПУБЛИКА БАШКОРТОСТАН, ГОРОД УФА, Г. УФА, Г УФА, УЛ БЕССОНОВА, Д. 23",80701000001,/company/14361545
7816462443,"Организация ООО ""СОФИЯ""",2023,202412252000,BTL|COMM_GROUP,list_org,,,http://rkn.gov.ru,"Показатели, адрес, руководитель, телефон, вид деятельности компании ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ИВЕНТ-АГЕНТСТВО СОФИЯ, ИНН 7816462443, ОГРН 1097847089086, ОКПО 60961869","Г.САНКТ-ПЕТЕРБУРГ, УЛ. ТАЛЛИНСКАЯ, Д. 7, ЛИТЕР О, ПОМЕЩ. 1Н ОФ 441-1",+7 (812) 766-62-07,/company/5701714
2367005536,"Организация ООО ""ИВЕНТ-СЕКЬЮРИТИ-АГЕНТСТВО""",2023,202455967000,BTL|COMM_GROUP,list_org,,,http://mail.ru,"Показатели, адрес, руководитель, телефон, вид деятельности компании ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ИВЕНТ-СЕКЬЮРИТИ-АГЕНТСТВО, ИНН 2367005536, ОГРН 1182375086332, ОКПО 33504477","КРАСНОДАРСКИЙ КРАЙ, ГОРОД-КУРОРТ СОЧИ, Г. Сочи, Г СОЧИ, УЛ ЛЕСНАЯ, Д. 3",elenazhukova77@mail.ru,/company/12017101
2014036829,"Организация ООО ИВЕНТ-АГЕНТСТВО ""ИРСЕ ДЕ""",2023,202443454000,BTL|COMM_GROUP,list_org,,,http://irse.de,"Показатели, адрес, руководитель, телефон, вид деятельности компании ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ИВЕНТ-АГЕНТСТВО ИРСЕ ДЕ, ИНН 2014036829, ОГРН 1232000001628, ОКПО 77285549","ЧЕЧЕНСКАЯ РЕСПУБЛИКА, ГОРОД ГРОЗНЫЙ, Г ГРОЗНЫЙ, Г ГРОЗНЫЙ, УЛ ИМ С.Ш.ЛОР",irse.de00@mail.ru,/company/13950819
9721073040,"Организация ООО ""КЕЙ КЕЙ ИВЕНТ""",2023,20244161000,BTL|COMM_GROUP,list_org,,,,"Показатели, адрес, руководитель, телефон, вид деятельности компании ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ АГЕНТСТВО КЕЙ КЕЙ ИВЕНТ, ИНН 9721073040, ОГРН 5187746004420, ОКПО 34983072","Г.МОСКВА, МУНИЦИПАЛЬНЫЙ ОКРУГ ТИМИРЯЗЕВСКИЙ, Ш ДМИТРОВСКОЕ, Д. 52, К. 1",87746004420,/company/12087520
2311186633,"Организация ООО ""ИВЕНТ-АГЕНТСТВО ПРАЗДНИК ПРО""",2023,202458299000,BTL|COMM_GROUP,list_org,,,http://www.vestnik-gosreg.ru,"Показатели, адрес, руководитель, телефон, вид деятельности компании ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ИВЕНТ-АГЕНТСТВО ПРАЗДНИК ПРО, ИНН 2311186633, ОГРН 1152311002293, ОКПО 26986323","КРАЙ КРАСНОДАРСКИЙ, Г. Краснодар, УЛ. ЯНТАРНАЯ, Д. 41, ПОМЕЩ. 3, ДИРЕКТО",pravothet@yandex.ru,/company/1570013
9703177569,"Организация ООО ""МОСКВИЧИ ИВЕНТ АГЕНТСТВО""",2023,202478785000,BTL|COMM_GROUP,list_org,,,http://moskvichi.agency,"Показатели, адрес, руководитель, телефон, вид деятельности компании ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ МОСКВИЧИ ИВЕНТ АГЕНТСТВО, ИНН 9703177569, ОГРН 1247700266770, ОКПО 48400022","Г.МОСКВА, МУНИЦИПАЛЬНЫЙ ОКРУГ ПРЕСНЕНСКИЙ, УЛ КРАСНАЯ ПРЕСНЯ, Д. 32-34",atarasikov@moskvichi.agency,/company/14508903
