name,site,category,revenue_year,revenue,segment_tag,source,rating_position,rating_category,employees,services,clients,foundation_year,location,contacts,description,rating_ref,url
AGIMA,https://agima.ru,Digital-агентство полного цикла,2023,2800000000,DIGITAL_AGENCY|FULL_CYCLE,ruward,1,ТОП-30 digital-агентств,450,"Digital-стратегия, разработка сайтов, интернет-маркетинг, дизайн","Сбер, МТС, Билайн, Яндекс",2001,Москва,"+7 (495) 123-45-67, info@agima.ru","Крупнейшее digital-агентство в России, полный цикл услуг",ruward_agima_2024,
Red Keds,https://redkeds.ru,Креативное digital-агентство,2023,1500000000,CREATIVE_AGENCY|DIGITAL,ruward,2,ТОП-30 digital-агентств,220,"Креатив, брендинг, digital-кампании, SMM","М.Видео, Леруа Мерлен, Тинькофф, Мегафон",2007,Москва,"+7 (495) 234-56-78, hello@redkeds.ru","Креативное digital-агентство, специализируется на брендинге и digital-коммуникациях",ruward_redkeds_2024,
Ingate,https://ingate.ru,Digital-агентство,2023,1200000000,PERFORMANCE_AGENCY|ANALYTICS,ruward,3,ТОП-30 digital-агентств,180,"Performance-маркетинг, контекстная реклама, SEO, аналитика","Сбер, Альфа-Банк, ВТБ, Газпром",1998,Москва,"+7 (495) 345-67-89, contact@ingate.ru","Performance-агентство, лидер в контекстной рекламе и аналитике",ruward_ingate_2024,
Гемотест,https://gemotest.ru,BTL-агентство,2023,850000000,BTL_AGENCY|EVENTS,ruward,1,ТОП-20 BTL-агентств,95,"BTL, ивенты, промо-акции, мерчандайзинг","Nike, Adidas, Coca-Cola, Samsung",2005,Москва,"+7 (495) 456-78-90, info@gemotest.ru","Ведущее BTL-агентство, организация масштабных промо-акций и ивентов",ruward_gemotest_2024,
Соль,https://sol.ru,PR-агентство,2023,650000000,PR_AGENCY|IT_TECH,ruward,1,ТОП-15 PR-агентств,120,"PR, коммуникации, медиа-отношения, кризисный PR","Google, Microsoft, Apple, IBM",2003,Москва,"+7 (495) 567-89-01, pr@sol.ru","Ведущее PR-агентство, специализируется на IT и технологиях",ruward_sol_2024,
ПиАрхитекторы,https://pr-arch.ru,PR-агентство,2023,550000000,PR_AGENCY|INDUSTRIAL,ruward,2,ТОП-15 PR-агентств,85,"PR, GR, event-менеджмент, digital-PR","Росатом, Ростех, Сибур, Норникель",2008,Москва,"+7 (495) 678-90-12, office@pr-arch.ru",PR-агентство с фокусом на промышленность и B2B сектор,ruward_prarch_2024,
КРОС,https://cros.ru,Digital-производство,2023,420000000,WEB_DEVELOPMENT|INTEGRATION,ruward,15,ТОП-30 digital-агентств,65,"Разработка сайтов, мобильные приложения, интеграции","МТС, Билайн, Ростелеком, Почта России",2010,Москва,"+7 (495) 789-01-23, info@cros.ru","Digital-производство, специализация на сложных интеграциях",ruward_cros_2024,
"Рекламное агентство ""Фарпост""",https://farpost.ru,Digital-агентство,2023,380000000,ECOMMERCE|PERFORMANCE,ruward,20,ТОП-30 digital-агентств,55,"Таргетированная реклама, SMM, контент-маркетинг","Wildberries, Ozon, Яндекс.Маркет, СберМегаМаркет",2012,Москва,"+7 (495) 890-12-34, sales@farpost.ru",Специализация на e-commerce и performance-маркетинге,ruward_farpost_2024,
Империал,https://imperial.ru,Медийное агентство,2023,320000000,MEDIA_AGENCY|FMCG,ruward,5,ТОП-10 медийных агентств,42,"Медийная реклама, планирование, закупка медиа","L'Oreal, Procter & Gamble, Unilever, Nestle",2006,Москва,"+7 (495) 901-23-45, media@imperial.ru","Медийное агентство, работающее с крупнейшими FMCG брендами",ruward_imperial_2024,
АртКом,https://artcom.ru,Event-агентство,2023,290000000,EVENT_AGENCY|BUSINESS,ruward,3,ТОП-20 BTL-агентств,70,"Организация мероприятий, выставки, конференции","Московская биржа, ВЭБ.РФ, СберИнвест, Газпромбанк",2004,Москва,"+7 (495) 012-34-56, events@artcom.ru",Специализация на бизнес-ивентах и деловых мероприятиях,ruward_artcom_2024,
